,l1,l2,l3,phrase
1742,1,0.0,0.0,Le conseiller m a demande d attendre un instant et apres ca coupe le chat. 
1743,0,0.0,1.0,"contrairement a hier, j ai eu des reponses precises a mes interrogations. je suis satisfaite et espere retomber sur ce conseiller, qui est tres reactif et competent"
1744,0,0.0,1.0,Tres bon service !
1745,0,1.0,0.0,Reponse simple 
1746,0,0.0,1.0,Reponse rapide et precise
1747,0,0.0,1.0,"Le conseiller a repondu a mes questions rapidement et de facon precise. Il y a juste le temps d attente pour la prise en charge qui pourrait etre un peu reduit, mais en dehors de ca, tres satisfaite"
1748,1,0.0,0.0,il m a jamais repondu ma demande
1749,1,0.0,0.0,Me repond pas a mes questions. 
1750,1,0.0,0.0,Nul
1751,1,0.0,0.0,Fin du chat conseiller avant d avoir obtenu une reponse
1752,1,0.0,0.0,ecoeuree
1753,1,0.0,0.0,Attente de 10 minutes sans reponse...
1755,1,0.0,0.0,delai vraiment trop long pour finaliser mon dossier. je me retrouve dans une situation tres inconfortable sans aucuns moyens de paiement. tres decus
1756,0,1.0,0.0,j etais en train de noter toutes les informations a l ecran quand est apparu ce sondage qui les a toutes ecrasees !!!!
1757,0,0.0,1.0,stephane a ete tres pro et sympathique. Reponse rapide et efficace. 
1758,0,1.0,0.0,Reponse rapide j espere efficiente a present 
1759,1,0.0,0.0,they never responded to the chat
1760,0,1.0,0.0,"Je trouve le delai de reponse un peu long
"
1761,0,1.0,0.0,rapide et efficace beaucoup plus satisfaisant pour la rapidite des reponses par rapport a l appel telephonique
1762,0,1.0,0.0,"en attente d acceptation de mon dossier pour ouverture d un compte joint. depuis 10 jours aucune avancee
"
1763,0,0.0,1.0,Parfait
1765,0,0.0,1.0,DEMANDE TRAITEE RAPIDEMENT / GRANDE REACTIVITE/ TRES SATISFAITE
1766,0,1.0,0.0,"j ai du me rendre compte par moi meme que le virement que j avais effectue n apparaissait pas au bon endroit dans les ecritures de compte
en effet les ecritures de debut fevrier sont classees avant celles de janvier !
"
1767,0,1.0,0.0,1er chat coupe ... donc on repete ! mais le 2eme fut le bon ! c est quand meme pratique !
1768,1,0.0,0.0,Attendre 5 minutes entre chaque reponse...
1769,1,0.0,0.0,"ma question est restee sans reponse, la conversation a ete terminee sans rien me demander..."
1770,1,0.0,0.0,Personne ne repond a chaque fois que je me connecte PUTAINT DE MEEEEEEEEERDE !!!!!!
1771,1,0.0,0.0,"ma compagne et moi essayons en vain depuis plus d un mois de finaliser votre offre. Alors une toute derniere fois nous vous demandons de nous appeler au 0325406030. Merci de votre implication
"
1772,0,0.0,1.0,Super service de chat.
1774,1,0.0,0.0,Mon chat a etait cloturer sans que je le fasse.
1776,0,0.0,1.0,"Emilie a ete tres competente et gentille! Elle a resolu le probleme qui me derange depuis longtemps, la conversation avec elle a ete tres agreable! Grand merci!"
1777,0,0.0,1.0,Reponse claire et rapide.
1778,0,0.0,1.0,la clarte des reponse apporte
1779,1,0.0,0.0,on n a pas fini la conversation et ca a coupe !
1781,0,1.0,0.0,"Conseiller efficace, mais delais d attente beaucoup trop longs (3 semaines pour ouvrir un compte ???)"
1782,1,0.0,0.0,Le conseiller a manque de repondre a ma demande
1783,0,0.0,1.0,tres bien
1788,1,0.0,0.0,Aucune solution proposee
1789,0,0.0,1.0,Informations tres claire. Delai de reponse un PETIT peu long.
1790,0,0.0,1.0,"Reponse rapide, claire, efficace"
1791,0,1.0,0.0,Reponse simple;attente 5 mn
1792,0,1.0,0.0,Aide apportee par Maxime.
1793,0,1.0,0.0,le conseiller n est meme pas en mesure de donner le motif d un refus d ouverture de compte. Decevant
1795,0,1.0,0.0,l operation conseillee ne fonctionne pas
1796,0,0.0,1.0,informations rapides et tres efficaces
1797,1,0.0,0.0,"Conversation stoppee au milieu, temps d ecriture du conseiller tres lent et pas de resolution du pb.... + pas d historique pour pouvoir redonner directement tous les elements au prochin chat 
Honteux pour une banque en ligne!!!!!"
1798,0,0.0,1.0,"simple, rapide, et efficace (si l action menee ensuite est effective)"
1800,1,0.0,0.0,je posai une question et la conversation s est coupe 
1801,1,0.0,0.0,Dialogue de sourd. Le conseiller n a pas compris ce dont j avais besoin. Je vais a la concurrence.
1802,1,0.0,0.0,Nicolas etait annonce et ne m a pas repondu 
1803,0,1.0,0.0,Le conseiller a ete clair mais le temps administratif (1 mois pour encaisser 2 cheques pour mes enfants) me semble trop long 
1804,1,0.0,0.0,"Une honte car vous n etes jamais disponibles, ni par chat conseiller, ni par telephone. "
1806,1,0.0,0.0,"incompetence, antipathique"
1807,0,0.0,1.0,Excellent 
1808,0,1.0,0.0,reponse expeditive 
1809,0,1.0,0.0,Echange avec le conseiller tres bien ! mais ca aurait ete mieux de recevoir la bonne carte brancaire prevue au debut de mes demarches avec vous sans passer par un conseiller...
1810,0,0.0,1.0,"peut etre envisage pour l avenir Merci
"
1811,0,1.0,0.0,"j ai du poser ma question plusieurs fois. Quant a ma derniere demande, on n y a pas repondu, la conversation a meme ete arretee !"
1812,0,0.0,1.0,"A titre indicatif, les reponses m ont entierement satisfaits."
1813,1,0.0,0.0,pas eu la reponse a ma question
1814,0,0.0,1.0,"au contraire , tres satisfait mais a gauche il y a ecrit satisfait et a droite non satisfait alors 1 veut dire  tres satisfait  ou  pas satisfait  ? alors j ai dis   3  , au milieu .... "
1815,0,1.0,0.0,"Je n ai pas eu de reponse par chat, on m a propose de poursuivre la conversation par telephone mais cela ne m arrangeait pas. J ai poursuivi par chat comme je l avait choisi mais on ne m a plus repondu ensuite."
1816,0,1.0,0.0,ce chat est satisfaisant mais le delai d attente est un long
1817,0,1.0,0.0,Pas satisfait.mon interlocuteur Yousra ne connait pas la demarche demandee 
1818,0,0.0,1.0,Precision des reponses
1820,0,0.0,1.0,Echange rapide et efficace
1821,0,0.0,1.0,RAS
1822,0,0.0,1.0,echange tres concluant 
1823,0,0.0,1.0,Merci a Emilie. ;)
1824,0,0.0,1.0,Les reponses sont claires
1826,0,0.0,1.0,Reponse rapide 
1827,1,0.0,0.0,Pas de reponse et a coupe court a la conversation. Delai d attente d ouverture extremement long... 1 mois toujours rien...
1828,1,0.0,0.0,Le conseiller ne me repondait pas ! je parlais toute seule
1829,0,1.0,0.0,Mon probleme a ete resolu
1830,1,0.0,0.0,Je n ai pas eu de reponse a mon attente. La satisfaction du client n est pas prise en compte
1831,0,1.0,0.0,"un peu complique les migrations bnp hello bank, le personel est mi competent bnp et mi competent hello bank...
"
1832,1,0.0,0.0,Personne n a repondu
1833,0,0.0,1.0,reponse claire et rapide.
1834,1,0.0,0.0,Pas de reaction du conseiller et mauvais renseignement j ai du appeler le service telephone qui a su me repondre rapidement et en moins de 2 minute .... 
1835,0,0.0,1.0,"Il a ete clair, meme si finalement BForBank ne repond pas a mes besoins (visa infinite) "
1838,1,0.0,0.0,Attendu 7 min une reponse qui n ai jamais venue 
1839,1,0.0,0.0,pas de reponse
1840,0,0.0,1.0,Reponses precises
1841,1,0.0,0.0,pas de reponse du conseille.
1842,0,0.0,1.0,rapide/concis/efficace
1844,1,0.0,0.0,Je n ai pas eu la reponse a mon probleme. Je ne peux pas completer mon dossier d ouverture de compte donc j envisage de le faire dans un autre banque en ligne s s il n aboutit pas.
1845,0,0.0,1.0,reponse precise et  rapide 
1846,0,0.0,1.0,"Radoine est au top, merci beaucoup a toi pour ta reactivite"
1847,0,0.0,1.0,Bref et efficace 
1848,0,0.0,1.0,c etait rapide et efficace 
1850,1,0.0,0.0,"le chat a ete couper avant d avoir repondue a ma question
"
1851,0,1.0,0.0,Aucune reponse a ma demande initiale
1853,0,0.0,1.0,solution trouver au probleme
1854,1,0.0,0.0,chat interrompu
1855,0,0.0,1.0,reponses rapides et precises
1857,0,1.0,0.0,un conseil pratico pratique qui n etait nulle part sur votre communication. merci au conseiller !!
1859,0,0.0,1.0,Enfin une reponse sur le statut de mon dossier !
1861,0,1.0,0.0,bien explique
1862,0,1.0,0.0,"Reponse rapide, j espere maintenant que ma demande a bien ete transmise au service concerne"
1865,0,1.0,0.0,Car pas vraiment aider 
1866,1,0.0,0.0,Sympa de clore la discussion alors que je n ai eu aucune reponse :/
1868,0,0.0,1.0,tres bien
1869,1,0.0,0.0,Le transfert de mes comptes de BNP vers HelloBank n est pas accepte parce que nous n avons qu un seul mobile pour mon epouse et moi. C est deplorable car nous avons confiance en notre conjoint.
1870,0,1.0,0.0,le personnel manque d information pour repondre aux futurs clients. Les temps de traitement sont abusivement longs et ne sont pas signes de bons usages pour la suite
1871,1,0.0,0.0,la conversation c est terminee avant que jaille pu lire..
1872,0,1.0,0.0,Nous avons ete coupes avant de pouvoir finir...
1873,1,0.0,0.0,j ai pas eu de repons
1874,1,0.0,0.0,"je n ai pas obtenu la reponse voulue, la conversation c est terminee a mon insu"
1875,0,0.0,1.0,enfin un conseiller hellobank performant et a l?ecoute. ca change.
1876,0,0.0,1.0,"Le conseiller Julien a ete tres agreable , tres serviable, efficace et tres a l ecoute. Il faut avoir des conseillers comme lui qui donnent envie de s informer et d echanger."
1877,0,0.0,1.0,Rapidite et precision des informations ressues.
1878,1,0.0,0.0,"Pas de probleme concernant la qualite du chat. 
Mais service client et service hello bank completement desinteresse. Heureusement que mon compte n a pas encore ete ouvert chez vous...."
1879,0,1.0,0.0,J ai apprecier la rapidite et la simplicite de l echange avec le conseiller
1880,1,0.0,0.0,"je demande un virement depuis 2 jours , la messagerie securisee ne fonctionne pas et on me renvoie de droite a gauche"
1884,1,0.0,0.0,.... premiere fois et derniere que j utilise cette outil. Plus de 5 mins d attente .... avais l impression de parler tout seul. 
1885,0,0.0,1.0,Merci pour votre assistance.
1886,0,0.0,1.0,Tres rapide
1887,0,0.0,1.0,J ai obtenu les reponses aux questions que je me posais.
1888,1,0.0,0.0,nul
1892,0,0.0,1.0,Besoin de l adresse de domiciliation (notamment l arrondissement) pour mon employeur.
1894,1,0.0,0.0,je n ai pas eu le temps de demander que le chat a ete coupe 
1895,0,0.0,1.0,"La conseillere (Julie) a repondu a ma question de maniere claire, rapide, et les echanges etaient tres chaleureux et avec  de l humour. :)"
1896,0,0.0,1.0,reponses rapides
1897,0,0.0,1.0,Echange tres satisfaisant et efficace 
1898,1,0.0,0.0,Je n ai pas eu ma reponse la conversation a ete termine alors que j attendais la reponse du conseiller ... Je ne suis PAS du tout satisfait !!!
1899,0,1.0,0.0,pas de reponse pour l instant . En attente de rappel 
1900,0,0.0,1.0,"La rapidite et la reactivite, la solution apportee a mon probleme est tres satisfaisante."
1901,1,0.0,0.0,aucune solution apportee a mon probleme 
1902,0,0.0,1.0,La conseillere m a tres bien guidee pour m aider a resoudre mon probleme de premier virement et j ai recu un excellent accueil. J ai toujours un accueil agreable et competent a chaque appel telephonique. 
1903,0,0.0,1.0,rapide et efficace
1904,1,0.0,0.0,Pernne n a repondu apres 3 minutes d attente...
1906,1,0.0,0.0,DEMANDE D AJOUT D ASSURANCE
1907,0,0.0,1.0,"Clair, simple et precis"
1908,0,1.0,0.0,tres satisfaisant.
1909,1,0.0,0.0,"Question posee, aucune reponse au bout de 3 minutes"
1910,0,1.0,0.0,Conseiller aimable qui prend le temps de repondre a mes questions. Pas le cas des autres conseillers 
1911,0,0.0,1.0,Emilie est adorable !
1912,1,0.0,0.0,au bout de 3 minutes la conversation est stoppee donc pas reponse
1913,1,0.0,0.0,Peut etre que je me suis trompe dans les manipulations de l ordinateur mais la conversation n etait pas termine du tout
1914,0,1.0,0.0,"Echange satisfaisant mais je n ai pas pu signer en ligne, beug visiblement ... "
1917,1,0.0,0.0,"J ai essaye de chatter 2 fois, je n ai jamais eu un conseil qui soit la pour repondre!! tres insatisfait"
1918,0,1.0,0.0,"rapide, a repondu a toute mes questions clairement et simplement, le plafond pour la classic bas  

les moins vous ne faite pas le terceo, le droit de decouvert payant,"
1919,1,0.0,0.0,Pas de reponse a ma question 
1920,0,1.0,0.0,prise en charge rapide de modification
1921,1,0.0,0.0,pas de reponse au bout de 25 minutes
1922,0,1.0,0.0,le temps d attente 
1923,0,1.0,0.0,Peut-etre essayer de mieux cerner la demande client des le depart en demandant des precisions au client pour etre sur d avoir bien compris si ce n est pas le cas avant de s aventurer plus loin.
1924,0,0.0,1.0,Le conseiller a bien repondu a mes questions
1925,1,0.0,0.0,La conversation s est coupee alors que je n ai pas eu de reponse
1927,1,0.0,0.0,Problemes de comprehension
1928,0,1.0,0.0,Les reponses sont tres minimales.
1929,0,0.0,1.0,J ai eu une reponse rapide a ma demande
1934,0,0.0,1.0,Tout a fait satisfait
1935,0,0.0,1.0,Je n ai pas la certitude que ma requete aboutira
1936,0,1.0,0.0,Je trouve que le delai de 21 jours pour l ouverture d un compte joint en etant deja client est tres long.
1937,0,1.0,0.0,Impossible d envoyer les pieces jointes demandees par un conseiller. Pas de solution de secours si ce n est attendre...
1938,0,0.0,1.0,"J ai demande un renseignement via le tchat Hello Bank pour mon collegue un conseiller m a repondu immediatement. Je suis tres satisfait malgre que ma demande de compte chez Hello Bank qui n a jamais
 abouti."
1939,1,0.0,0.0,conversation terminee alors que je n ai pas eu la reponse
1940,1,0.0,0.0,Pas resoudre le probleme
1942,1,0.0,0.0,Je n ai pas eu de reponse a ma question le chat a ete ferme ! 
1943,0,1.0,0.0,Ne fais rien pour arranger les choses. A part me dire c est la procedure. Procedure je veux bien mais il doit bien y avoir un responsable juste pour passer un coup de telephone et c est fini
1944,0,0.0,1.0,Il est cool Andre !
1945,0,1.0,0.0,le conseiller ne m a pas repondu quand a l avancement de mon dossier d ouverture de compte ? Pres d un mois tout de meme d attente ? et pas de suite a me donner ?
1946,0,0.0,1.0,Reponse aux questions posees 
1947,0,1.0,0.0,Apres 1 mois d attente sans infos sur l ouverture de mon compte et une semaine sans reponse au mail envoye le chat devrait permettre de debloquer la situation en moins de 72H.
1948,0,0.0,1.0,Echange clair rapide et aimable.
1949,0,0.0,1.0,J ai obtenu la reponse a ma question
1951,0,0.0,1.0,Merci pour la disponibilite et la precision des reponses
1952,1,0.0,0.0,"Le dossier no 93382465657 est non traite a ce jour, alors que tous les documents sont envoyes.
Je vous remercie de traiter la demande dans les meilleurs delais"
1953,0,0.0,1.0,tres satisfaite merci
1954,0,1.0,0.0,La reponse a ete claire et precise.
1955,0,0.0,1.0,Rapidite des reponses
1956,0,0.0,1.0,aucun soucis
1957,0,0.0,1.0,Reponses completes et rapides
1959,1,0.0,0.0,Un bonjour c est gratuit.
1960,1,0.0,0.0,"Bonjour.
J ai um mesage comme quoi le document d attestation de l hebergeur est non conforme. Je n ai pas ete guide de quoi faire ou de quels documents vous avez besoin ..."
1961,0,1.0,0.0,echange efficace et sympathique et tres pro
1962,0,0.0,1.0,Personne tres agreable
1963,1,0.0,0.0,raccroche au nez 
1964,0,0.0,1.0,Merci
1965,0,0.0,1.0," Mickael  Tres cordial et professionnel, de bon conseil."
1966,0,1.0,0.0,"LAura n osait pas me dire non... mais c est parfois mieux :-) Elle tres bien repondu et etait poli mais nous avons tous 2 perdu du temps avant de recevoir une reponse negative.
Merci "
1967,0,0.0,1.0,Conseillere tres competente qui n a pas hesite a m appeler pour mieux me conseiller. Je suis tres satisfaite de son service.
1968,0,0.0,1.0,Merci de votre aide.
1969,0,1.0,0.0,je n ai pas eu les reponses a mes dernieres questions... mais ... cela ne devrait pas tarder j imagine. Cordialement Lydie Briancon
1970,0,1.0,0.0,"aucune information de donnee, traitement  generique  de ma demande qui pourrait aussi bien etre fait par une boite vocale, et flou total quant a la creation de mon dossier depuis 1 mois."
1971,0,1.0,0.0,"j attend un message de correction de l erreur de transfert de compte. 
Le chat a ete satisfaisant et j?espere que ma demande sera prise en compte rapidement."
1973,1,0.0,0.0,"Il doit y avoir eu un probleme de comprehension entre nous. J ai pose une question, le chat c est ouvert sans reponse et je n ai pas vu la zone ou ecrire les messages (pas de signalisation de cette cartouche)"
1974,0,0.0,1.0,J ai eu les informations dont j avais besoin rapidement.
1976,0,0.0,1.0,cela a permis de m eclairer sur plusieurs points 
1978,1,0.0,0.0,"le chat fut termine par le conseiller , sans prevenance , une question est reste en suspens"
1979,1,0.0,0.0,Je n ai pas eu de reponse... attente de 30 min.
1980,0,0.0,1.0,Simplicite et rapidite des demarche... parfait.
1981,0,0.0,1.0,"Cet echange m a satisfait car j ai trouve que mon interlocuteur etait courtois, accueillant et professionnel."
1982,0,0.0,1.0,Merci pour votre aide.
1984,0,1.0,0.0,On me demande d attendre 2 heures pour un chat que me voila deconnecter et on me demande un avis sur un echange qui n a pas eu lieu..
1985,0,0.0,1.0,Rapidite et precision de la reponse.
1986,1,0.0,0.0,"le chat s est arrete d un coup !!! Alors que le dernier message de votre conseiller etait  veuillez patienter un instant. . Ridicule. Merci de me recontacter immediatement (07 69 32 00 93)
"
1987,0,0.0,1.0,Les reponses apportees sont claires et nets . 
1989,0,0.0,1.0,L interlocutrice a ete tres agreable et force de proposition suite a mes differentes demandes.
1990,0,1.0,0.0,"il faut revoir les commentaires sur ce site :
http://monsieurbanques.lesmonsieurs.com/avis-52-hello-bank"
1992,1,0.0,0.0,Apparemment vos conseillers ne disposent pas des informations leur permettant de repondre efficacement a leur client
1993,0,0.0,1.0,Une conseillere au top :)
1994,0,0.0,1.0,Merci impeK
1995,0,1.0,0.0,rapidite pour trouver le site recherche
1996,0,1.0,0.0,le temps de reponse du conseiller pendant la conversation est trop long.
1997,0,0.0,1.0,C etait tres clair et efficace
1998,0,0.0,1.0,reponses simples et precises
1999,0,0.0,1.0,Echange precis et rapide
2000,0,0.0,1.0,"J ai decouvert qu il etait possible de realiser des virements de montants importants vers des beneficiaires externes et tout ca de l application, tres pratique et rapide"
2001,1,0.0,0.0,pas de vrai reponse a mon dernier message
2002,1,0.0,0.0,"Je n ai meme pas eu l occasion de terminer ma conversation, le conseille m a envoye un message vague et a quitte le dialogue alors que je n avais pas termine de poser mes questions !"
2004,1,0.0,0.0,"une perte de temps pour moi, n a aucune solution"
2005,0,0.0,1.0,Reponse rapide et precise
2006,0,0.0,1.0,rapide et concis
2007,0,1.0,0.0,J ai pas trouve mes reponses
2008,1,0.0,0.0,La reponse n est pas du tout adapte. Il n y a aucune solution proposee
2009,0,1.0,0.0,Attente longue et pas de reponse satisfaisante
2010,0,1.0,0.0,Desolant ! Je fais valoir mon droit de retractation par RAR ce jour
2011,0,0.0,1.0,"Efficace rapide et convivial , pour un premier contact avec Tommy"
2012,0,0.0,1.0,Merci pour votre aide
2013,0,1.0,0.0,"ma question etait simple
"
2014,0,0.0,1.0,Conseillere rapide et efficace. Proposition commerciale d un contrat d assurance vie adaptee.
2015,1,0.0,0.0,Je n ai pas eu de reponse a ma question...
2016,1,0.0,0.0,A complete waste of my time!!
2017,0,0.0,1.0,Reponse rapide 
2018,0,1.0,0.0,merci pour les infos
2019,0,0.0,1.0,reponse en direct
2021,0,1.0,0.0,Merci a Laura
2022,0,0.0,1.0,Conseillere patiente
2023,1,0.0,0.0,"je me suis absente 5min et le chat s est ferme, je n ai meme pas pu voir l eventuelle reponse de l operateur :/"
2024,0,0.0,1.0,"Echange par chat nettement plus satisfaisant que par mail... j ai envoye deux mails restes tous les deux sans reponse. Le chat permet d avoir un conseiller immediatement, et le mien etait tres bien."
2025,0,1.0,0.0,Qualite et coherence des informations delivrees !
2027,0,1.0,0.0,Rapide et simple.
2028,0,0.0,1.0,Information immediate et claire.
2029,0,1.0,0.0,trop long a repondre.
2031,1,0.0,0.0,tout
2032,0,1.0,0.0,Je n ai pas recu la reponse a ma question : beneficierai-je de la prime pour creation de compte (de 80euros) + mobilite bancaire (40euros) !
2033,0,1.0,0.0,Merci ! 
2034,0,0.0,1.0,"Tres satisfait, rapide."
2035,0,1.0,0.0,"il me semble que le conseiller n a pas lu ma problematique, et d ailleurs ne semblait pas tres concerne."
2036,1,0.0,0.0,Merci de repondre rapidement et de ne pas fermer la conversation
2037,0,1.0,0.0,Efficace mais les echanges sont un peu longs ... ca ne vaut pas un coup de fil !!
2039,0,0.0,1.0,"Clement m a tres bien repondu.
Merci a lui"
2040,0,1.0,0.0,"S est termine alors que j etais en train d ecrire. Avant cela, mes questions ont trouve des reponses."
2041,0,1.0,0.0,Ouverture de compte beaucoup trop longue.....depuis janvier toujours pas de carte et de chequiers recus.....
2042,0,0.0,1.0,Tres bien
2044,0,0.0,1.0,"echange facile, conseiller reactive et acceuil geniale, reponse a toute les problematiques "
2045,1,0.0,0.0,"au niveau relation et chercher des solutions, j ai vu mieux"
2048,0,1.0,0.0,Impossible de traiter ma demande d inscription. SMS de confirmation pour signer mon dossier electronique jamais recu
2049,1,0.0,0.0,PAS DE R2PONSE
2050,1,0.0,0.0,"Aucune reponse 
"
2052,0,0.0,1.0,Reponses claires et rapides.
2054,1,0.0,0.0,Le conversation est finie sans me donner aucune solution???
2055,1,0.0,0.0,pas de reponse et fin de conversation initiee par le  conseiller  donc toujours le meme probleme ! pas merci
2056,1,0.0,0.0,personne ne m a repondu je galere depuis 2h suite a ma souscription en ligne ... pour un service simple et rapide cela laisse a desirer ...
2057,0,1.0,0.0,Les reponse etaient claire.
2058,0,0.0,1.0,reponse rapide
2060,1,0.0,0.0,toujours la meme reponse mais rien n avance!
2061,0,0.0,1.0,Reponse claires et tres rapide. Merci
2062,1,0.0,0.0,Pas de reponse
2063,0,0.0,1.0,Prise en charge rapide et reponses claires
2064,0,0.0,1.0,Reponse rapide et claire
2065,0,1.0,0.0,"Le probleme est le delai trop important pour ouvrir un compte-joint, un mois d attente c est trop!"
2066,1,0.0,0.0,Je n ai pas eu acces a la reponse a ma question
2067,0,1.0,0.0,personne competente mais le placement de service un peu trop marketing a mon gout!
2068,0,1.0,0.0,Cette fois-ci le conseiller a semble-t-il investi un peu plus de temps et de reflexion. J ai eu reponse a ma question
2070,0,0.0,1.0,le conseiller m a rassurer mais je n ai pas eu de date ou d etat d avancement de mon dossier
2071,0,0.0,1.0,hello bank ne respecte pas les delais promis a ces clienteles
2072,1,0.0,0.0,46835723813 contactez moi par mail car apres plusieurs demandes je n ai aucun retour et je vais finir par aller voir une autre banque
2073,1,0.0,0.0,jamais eu de reponse... comme souvent...
2074,0,1.0,0.0,Le chat a ete deconnecte pendant que le conseiller cherchait de l information.
2075,0,0.0,1.0,bonnes reponses
2076,0,0.0,1.0,Reponse rapide et claire 
2078,0,1.0,0.0,dommage que je doive a chaque pb en venir au contact ! et que le  suivi de dossier  ne soit pas actualise .... 15/02 il dit dans 10j vos identifiants et nous sommes le 8/03 !
2079,0,0.0,1.0,le delai d application du plafond de virement a 15 000 euros avec la cle digitale est trop important
2080,1,0.0,0.0,ca coupe tout seul alors que j attends la reponse
2081,0,0.0,1.0,"Malheureusement pas de solution trouvee, donc je vais devoir prendre contact avec mon conseille Societe general pour voir d ou vient le probleme que je rencontre.
Toutefois, personne agreable au tchat."
2082,0,1.0,0.0,Je n ai pas vu le restant de la conversation avec le conseiller
2083,1,0.0,0.0,"j attendais la reponse du conseille et j ai ete deconnecte.
Peut-on me rappeler
Merci"
2084,0,0.0,1.0,efficace
2085,1,0.0,0.0,"Je n ai pas eu de reponse a ma question, et la personne avec qui je viens de parler me fait passer pour une menteuse. Sensation tres desagreable."
2086,0,0.0,1.0,Parfait j ai eu toutes les reponses a mes questions et bon dialogue 
2087,0,0.0,1.0,rapide et precis
2088,0,0.0,1.0,Reponse clair et rapide
2089,1,0.0,0.0,pas competence
2090,0,0.0,1.0,j ai mes reponses
2091,0,0.0,1.0,disponibilite 
2093,1,0.0,0.0,CE TCHAT NE FONCTIONNE PAS
2094,1,0.0,0.0,personne ne m a repondu
2095,0,0.0,1.0,"Je suis tres satisfait de la reponse qui m a ete donnee, j espere que les actes suivront..."
2096,0,0.0,1.0,bonne prise en main du probleme par votre conseiller
2097,1,0.0,0.0,"La fenetre de discussion s est ferme 20 seconde apres, je n ai pas pu echanger avec un conseiller"
2098,0,1.0,0.0,echange qui a permis de boucler le dossier
2099,0,0.0,1.0,Le conseiller etait sympa. Merci Charles.
2101,0,1.0,0.0,Reponse un peu vague.    Je n ai pas d explication quand a la gestion tres lente de mes dossiers
2105,1,0.0,0.0,Le gestion d ouverture de compte est tres mal faite. Pas d information et des delais a rallonge. Je ne vais pas vous faire de pub.
2106,0,1.0,0.0,"Le chat conseille est reactif sur les questions-reponses contrairement aux actions de Hello Bank (ouverture du compte). Par contre, a chaque fois, la reponse du conseiller est :  je relance le service en charge. Ca manque d argument concret. "
2107,0,1.0,0.0,La conseillere a bien repondu a mes demandes!
2109,0,0.0,1.0,reponse parfaite a ma question
2110,0,1.0,0.0,J attendais une reponse de delai concernant l envoi de nos moyens de paiement = reponse : impossible de donner un delai
2111,0,0.0,1.0,Conseiller maitrisant totalement ses reponses et a l ecoute
2112,0,0.0,1.0,Les reponses sont rapides et claires.
2113,0,0.0,1.0,parfais reponse rapide et simple 
2114,0,0.0,1.0,Merci pour votre assistance.
2117,0,1.0,0.0,ce n est pas tres clair infos contradictoires
2119,0,0.0,1.0,Reponse tres rapide et probleme resolu !
2120,0,0.0,1.0,Tres bien.
2121,0,0.0,1.0,Le conseiller a repondu a toute mes interrogations avec precision et clarte.
2122,0,0.0,1.0,j ai obtenu des reponses precises a mes questions ; et la modification d une adresse mail a ete faite immediatement
2123,1,0.0,0.0,conversation couper au bout de huit minutes sans resultat.le conseiller etait en train de verifier notre dossier
2124,0,0.0,1.0,rapide
2125,0,1.0,0.0,"Globalement je suis tres satisfait du service, mais la conversation a ete coupee violemment, ce qui n est pas tres agreable... D habitude ca se passe toujours bien avec les conseillers, peut-etre s agit-il d une erreur de manipulation ?
Cordialement
"
2126,0,0.0,1.0,C etait rapide et clair.
2127,1,0.0,0.0,je n ai pas la reponse demandee et je reste sec avec une communication interrompue sans aucune forme que ce soit. merci 
2128,0,0.0,1.0,la conseillere a repondu a toutes les questions qui me preoccupaient en vue du transfert de mon compte bnp
2129,0,1.0,0.0,"Je n ai pas eu de reponse a ma derniere question, je ne sais pas ce que je dois finalement envoyer pour terminer mon dossier. "
2131,0,0.0,1.0,Rapide et exacte.
2133,0,1.0,0.0,J ai eu une reponse claire a ma question.
2134,1,0.0,0.0,pas eu de reponse a mes questions complementaires. le conseiller ferme la conversation sans raison apparente
2135,0,1.0,0.0,TEST MOA emilien
2137,1,0.0,0.0,perdre un client pour 4.50eur... minable...
2139,1,0.0,0.0,Trop d attente... De plus je n ai pas eu la reponse a toutes mes questions. Je devrai recontacter un conseiller...
2141,0,0.0,1.0,Une reponse claire et rapide a ma question ! Merci 
2142,1,0.0,0.0,aucune reponse 
2143,0,0.0,1.0,merci
2144,0,0.0,1.0,"Bon contact, semble avoir repondu a mes demandes"
2145,1,0.0,0.0,"ma question est restee sans reponse, pour une nouvelle cliente, cela me laisse un gout amer"
2146,0,0.0,1.0,J ai eu tous les renseignements que je souhaitais avoir rapidement et clairement 
2148,1,0.0,0.0,Je n ai pas eu de reponse et la conversation a ete coupee a 17h30...
2149,0,0.0,1.0,reponse claire et rapide
2150,0,0.0,1.0,anais a totalement repondu a mes attentes
2151,1,0.0,0.0,"Pas de re^ponse du conseiller
"
2152,0,1.0,0.0,"C est bien pcq Sebastien m a informe qu il manquait un document. C est le seul a m en avoir informe, alors que depuis deux mois et demi, vos autres conseillers ne m en informaient pas. Merci Sebastien."
2153,1,0.0,0.0,Je n ai pas eu le temps de repondre...
2154,1,0.0,0.0,pas eu de reponse ...
2155,0,0.0,1.0,"Reponses claires, rapides, avec une vraie volonte d aider de la part des deux conseillers."
2156,0,1.0,0.0,test MOA 
2157,1,0.0,0.0,"je n ai pas eu de reponse a ma question
"
2158,0,1.0,0.0,C etait bien et efficace.
2159,1,0.0,0.0,coupure au milieu de conversations.....
2161,0,0.0,1.0,c est tres pratique de pouvoir echanger par tchat
2163,0,1.0,0.0,peu competent et pas du tout interesse par ce que je lui disais
